filename,version,release_date,file_url
nucc_taxonomy_241.csv,24.1,2024-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_241.csv
nucc_taxonomy_240.csv,24.0,2024-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_240.csv
nucc_taxonomy_231.csv,23.1,2023-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_231.csv
nucc_taxonomy_230.csv,23.0,2023-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_230.csv
nucc_taxonomy_221.csv,22.1,2022-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_221.csv
nucc_taxonomy_220.csv,22.0,2022-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_220.csv
nucc_taxonomy_211.csv,21.1,2021-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_211.csv
nucc_taxonomy_210.csv,21.0,2021-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_210.csv
nucc_taxonomy_201.csv,20.1,2020-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_201.csv
nucc_taxonomy_200.csv,20.0,2020-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_200.csv
nucc_taxonomy_191.csv,19.1,2019-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_191.csv
nucc_taxonomy_190.csv,19.0,2019-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_190.csv
nucc_taxonomy_181.csv,18.1,2018-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_181.csv
nucc_taxonomy_180.csv,18.0,2018-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_180.csv
nucc_taxonomy_171.csv,17.1,2017-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_171.csv
nucc_taxonomy_170.csv,17.0,2017-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_170.csv
nucc_taxonomy_161.csv,16.1,2016-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_161.csv
nucc_taxonomy_160.csv,16.0,2016-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_160.csv
nucc_taxonomy_151.csv,15.1,2015-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_151.csv
nucc_taxonomy_150.csv,15.0,2015-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_150.csv
nucc_taxonomy_141.csv,14.1,2014-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_141.csv
nucc_taxonomy_140.csv,14.0,2014-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_140.csv
nucc_taxonomy_131.csv,13.1,2013-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_131.csv
nucc_taxonomy_130.csv,13.0,2013-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_130.csv
nucc_taxonomy_121.csv,12.1,2012-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_121.csv
nucc_taxonomy_120.csv,12.0,2012-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_120.csv
nucc_taxonomy_111.csv,11.1,2011-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_111.csv
nucc_taxonomy_110.csv,11.0,2011-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_110.csv
nucc_taxonomy_101.csv,10.1,2010-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_101.csv
nucc_taxonomy_100.csv,10.0,2010-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_100.csv
nucc_taxonomy_91.csv,9.1,2009-07-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_91.csv
nucc_taxonomy_90.csv,9.0,2009-01-01,https://www.nucc.org/images/stories/CSV/nucc_taxonomy_90.csv
